TIPO_REG;PAIS;P_DEPTO;P_MUNIC;UC_UO;ENCUESTA;COD_VEREDA;P_S6P45B;P_S6P45A;P_S6P46;P_S6P47A;P_S6P47B;P_S6P48;P_S6P50;P_S6P51_SP1;P_S6P51_SP2;P_S6P51_SP3;P_S6P53;P_S6P57A;P_S6P59_UNIF;P_S6P60;AREA_SEMBRADA;AREA_COSECHADA
4;170;25;25035;00070000;083146422;25245031;1;1;00132401001;11;1993;2;2;;1;;;2.7244761605;15.091752353;12;0.1805274892;0.1805274892
4;170;25;25035;00070000;083146422;25245031;1;1;00131601001;11;1996;2;2;;1;;;0.6227921114;3.4498464144;12;0.1805274892;0.1805274892
4;170;25;25035;00070000;083146422;25245031;2;1;00132202001;11;2013;2;;;;;;0;;;1.173656475;0
4;170;25;25035;00070000;083146422;25245031;2;1;16100100110;5;1992;2;1;;1;;;1.690065324;1.44;12;1.173656475;1.173656475
4;170;25;25035;00070000;083146422;25245031;3;1;16100100105;5;1992;1;1;;1;;;0.0193310712;0.72;12;0.02684871;0.02684871
4;170;25;25035;00070000;083146422;25245031;5;2;00112201001;5;2013;1;2;;1;;;0.3341302787;2.9044032772;12;0.11504266;0.11504266
4;170;25;25035;00070000;083146422;25245031;5;2;00112201001;10;2013;1;2;;1;;;0;;12;0.11504266;0
4;170;25;25035;00070000;083150247;25035006;1;1;00131601001;11;1994;1;2;;1;;;0.0512979642;3.4498464144;12;0.0148696371;0.0148696371
4;170;25;25035;00070000;083150283;25035026;1;1;00131601001;11;1990;2;2;;1;;;0.284383441;3.4498464144;12;0.0824336526;0.0824336526
4;170;25;25035;00070000;083150283;25035026;1;1;00132401001;11;1992;2;;;;;;1.2440682713;15.091752353;;0.0824336526;0.0824336526
4;170;25;25035;00070000;083150283;25035026;2;1;00132401001;11;1992;2;;;;;;9.3824934227;15.091752353;;0.6216967522;0.6216967522
4;170;25;25035;00070000;083150283;25035026;2;1;00132201001;11;1993;2;2;;1;;;7.8766768358;12.669644498;12;0.6216967522;0.6216967522
4;170;25;25035;00070000;083150283;25035026;2;2;00159201001;9;2013;2;2;;1;;;0;;12;0.6216967522;0
4;170;25;25035;00070000;083150283;25035026;2;2;00159201001;9;2012;2;2;;1;;;5.2526348128;8.4488696367;12;0.6216967522;0.6216967522
4;170;25;25035;00070000;083150283;25035026;3;1;09999999903;10;2013;1;;;;;;0.5134699145;0.9007113173;;0.5700715697;0.5700715697
4;170;25;25035;00070000;083150283;25035026;4;1;00131201001;7;2012;1;2;;1;;;0.5064598077;5.3317013875;12;0.09499028;0.09499028
4;170;25;25035;00070001;060454609;25035022;1;1;00132301002;12;1992;2;;;;;;4.690830717;11.554133173;;0.4059872469;0.4059872469
4;170;25;25035;00070001;060454609;25035022;1;1;00131601001;12;2002;2;2;;1;;;1.4005936479;3.4498464144;12;0.4059872469;0.4059872469
4;170;25;25035;00070001;060454609;25035022;2;1;00131201001;8;1992;1;2;;1;;;14.072649282;5.3317013875;12;2.6394293789;2.6394293789
4;170;25;25035;00070001;060454609;25035022;3;1;00132301002;12;1993;1;;;;;;5.4053570663;11.554133173;;0.46782887;0.46782887
4;170;25;25035;00070001;060457185;25035024;1;1;00132401001;12;1992;2;;;;;;21.717286152;15.091752353;;1.4390168646;1.4390168646
4;170;25;25035;00070001;060457185;25035024;1;1;00131601001;12;2011;2;2;;1;;;0;;12;1.4390168646;0
4;170;25;25035;00070001;060457185;25035024;2;1;00132401001;12;1994;2;;;;;;141.18976254;15.091752353;;9.35542535;9.35542535
4;170;25;25035;00070001;060457185;25035024;2;2;00112201001;7;2013;2;2;;1;;;27.876090358;2.9796710802;12;9.35542535;9.35542535
4;170;25;25035;00070001;060457185;25035024;2;2;00112201001;12;2013;2;2;;1;;;0;;12;9.35542535;0
4;170;25;25035;00070001;060457185;25035024;3;1;00131701001;8;2012;1;2;;1;;;34.942065884;21.072112142;12;1.65821374;1.65821374
4;170;25;25035;00070001;060458118;25035022;1;1;00131601001;12;2002;1;2;;1;;;0.0370142776;3.4498464144;12;0.0107292538;0.0107292538
4;170;25;25035;00070001;060458118;25035022;2;1;00131201001;8;2012;1;2;;1;;;0.3719057173;5.3317013875;12;0.0697536659;0.0697536659
4;170;25;25035;00070001;060458118;25035022;3;1;00132301002;12;1992;1;;;;;;0.1428503343;11.554133173;;0.01236357;0.01236357
4;170;25;25035;00070001;060460234;25035027;1;1;00132401001;11;1992;1;2;;1;;;37.843657574;15.091752353;12;2.5075721287;2.5075721287
4;170;25;25035;00080000;083143113;25035022;1;1;00131601001;11;2012;1;2;;1;;;0;;12;0.0155217268;0
4;170;25;25035;00080000;083143113;25035022;2;1;00132401001;11;1992;2;;;;;;44.166581072;15.091752353;;2.9265376239;2.9265376239
4;170;25;25035;00080000;083143113;25035022;2;1;00132201001;11;1993;2;2;;1;;;37.078191305;12.669644498;12;2.9265376239;2.9265376239
4;170;25;25035;00080000;083143113;25035022;3;1;00131601001;11;1991;1;2;;1;;;0.0535475736;3.4498464144;12;0.0155217268;0.0155217268
4;170;25;25035;00080000;083143113;25035022;4;1;09999999903;10;2013;1;;;;;;0.9085882334;0.9003873954;;1.0091081217;1.0091081217
4;170;25;25035;00080000;083143113;25035022;5;1;00131701001;7;2012;1;2;;1;;;0.7537941242;21.072112142;12;0.03577212;0.03577212
4;170;25;25035;00080000;083146751;25245031;1;1;00131601001;11;2010;2;2;;1;;;0.2253237732;3.4498464144;12;0.0653141462;0.0653141462
4;170;25;25035;00080000;083146751;25245031;1;1;00132401001;11;1992;2;;;;;;0.9857049201;15.091752353;;0.0653141462;0.0653141462
4;170;25;25035;00080000;083146751;25245031;2;1;09999999903;10;2013;1;;;;;;0.4138207322;0.9161785599;;0.45168131;0.45168131
4;170;25;25035;00080000;083146751;25245031;3;1;00131201001;7;1992;1;2;;1;;;0.4012802147;5.3317013875;12;0.07526307;0.07526307
