TIPO_REG;PAIS;P_DEPTO;P_MUNIC;UC_UO;ENCUESTA;COD_VEREDA;P_S6P45B;P_S6P45A;P_S6P46;P_S6P47A;P_S6P47B;P_S6P48;P_S6P50;P_S6P51_SP1;P_S6P51_SP2;P_S6P51_SP3;P_S6P53;P_S6P57A;P_S6P59_UNIF;P_S6P60;AREA_SEMBRADA;AREA_COSECHADA
4;170;08;08137;00851092;040069183;08137001;2;1;09999999903;1;2013;1;;;;;;1.2599367287;2.1968234906;;0.5735266097;0.5735266097
4;170;08;08137;00851554;040069191;08137001;1;2;00193002012;7;2013;2;2;;1;;;0;;12;2.7884009379;0
4;170;08;08137;00854196;040069185;08137001;1;2;00159301001;7;2013;2;2;;1;;;0;;12;2.2148743282;0
4;170;08;08137;00854196;040069185;08137001;1;2;00123502001;7;2013;2;2;;1;;;22.0779958;9.9680580154;12;2.2148743282;2.2148743282
4;170;08;08137;00854196;040069185;08137001;1;2;00112201001;6;2013;2;2;;1;;;7.049750815;3.1829123329;12;2.2148743282;2.2148743282
4;170;08;08137;00854196;040069185;08137001;1;2;00112201002;9;2012;2;2;;1;;;7.2361094912;3.2670519493;12;2.2148743282;2.2148743282
4;170;08;08137;00854196;040069185;08137001;1;2;00112201002;6;2013;2;2;;1;;;7.4236299058;3.3517160822;12;2.2148743282;2.2148743282
4;170;08;08137;00854196;040069185;08137001;1;2;00112201001;9;2012;2;2;;1;;;7.7712868966;3.5086807399;12;2.2148743282;2.2148743282
4;170;08;08137;00854196;040069185;08137001;2;1;09999999903;1;2013;1;;;;;;1.2856694558;2.2416910289;;0.5735266097;0.5735266097
4;170;08;08137;00855046;040069200;08137001;1;2;00123502001;7;2013;2;2;;1;;;8.6258883791;9.9871302472;12;0.863700399;0.863700399
4;170;08;08137;00855046;040069200;08137001;1;1;00131601001;2;2010;2;2;;1;;;2.9385763908;3.4023098684;12;0.863700399;0.863700399
4;170;08;08137;00855046;040069200;08137001;2;1;09999999903;1;2013;1;;;;;;4.5949533592;2.3873601458;;1.9247005389;1.9247005389
4;170;08;08137;00856607;040068603;08137001;1;2;00159301001;4;2013;2;2;;1;;;0;;12;2.2148743282;0
4;170;08;08137;00856607;040068603;08137001;1;2;00123502001;7;2013;2;2;;1;;;20.328306829;9.1780858941;12;2.2148743282;2.2148743282
4;170;08;08137;00856607;040068603;08137001;1;2;00112201002;9;2012;2;2;;1;;;7.2957656853;3.2939862964;12;2.2148743282;2.2148743282
4;170;08;08137;00856607;040068603;08137001;1;2;00112201002;6;2013;2;2;;1;;;7.3000811393;3.2959346932;12;2.2148743282;2.2148743282
4;170;08;08137;00856607;040068603;08137001;1;2;00112201001;9;2012;2;2;;1;;;6.9117429706;3.1206027731;12;2.2148743282;2.2148743282
4;170;08;08137;00856607;040068603;08137001;1;2;00112201001;6;2013;2;2;;1;;;7.3052935244;3.298288048;12;2.2148743282;2.2148743282
4;170;08;08137;00856607;040068603;08137001;2;1;09999999903;1;2013;1;;;;;;1.2841883289;2.2391085387;;0.5735266097;0.5735266097
4;170;08;08137;00857493;040068601;08137001;1;1;00131601001;2;2000;1;2;;1;;;2.9385763908;3.4023098684;12;0.863700399;0.863700399
4;170;08;08137;00857493;040068601;08137001;2;1;09999999903;1;2013;1;;;;;;4.5455664036;2.3617005927;;1.9247005389;1.9247005389
4;170;08;08137;00859072;040069190;08137001;1;2;00122901001;11;2013;2;2;;1;;;0;;12;0.319817966;0
4;170;08;08137;00859072;040069190;08137001;1;2;00123502001;7;2013;2;2;;1;;;3.1925882343;9.9825168495;12;0.319817966;0.319817966
4;170;08;08137;00859072;040069190;08137001;2;1;09999999903;1;2013;1;;;;;;1.7679027491;2.48059273;;0.7126936751;0.7126936751
4;170;08;08137;01020001;000040146;08137003;1;2;00112201002;9;2012;2;2;;1;;;0.5316556687;3.5815892971;12;0.1484412714;0.1484412714
4;170;08;08137;01020001;000040146;08137003;1;2;00112201002;6;2013;2;2;;1;;;0.4863061316;3.2760843878;12;0.1484412714;0.1484412714
4;170;08;08137;01020001;000040146;08137003;1;2;00112201001;6;2013;2;2;;1;;;0.4863571998;3.2764284176;12;0.1484412714;0.1484412714
4;170;08;08137;01020001;000040146;08137003;1;2;00112201001;9;2012;2;2;;1;;;0.5048124345;3.4007552607;12;0.1484412714;0.1484412714
4;170;08;08137;01020001;000040146;08137003;1;1;00132201001;1;1993;2;;;;;;2.0702662122;13.946702243;;0.1484412714;0.1484412714
4;170;08;08137;01020001;000040146;08137003;1;2;00159201001;3;2013;2;2;;1;;;0.9997166957;6.7347624186;12;0.1484412714;0.1484412714
4;170;08;08137;01020001;040068760;08137003;1;2;00159201001;3;2013;2;2;;1;;;0.3077700234;6.3648112537;12;0.0483549333;0.0483549333
4;170;08;08137;01020001;040068760;08137003;1;1;00132201001;1;1993;2;;;;;;0.6743918563;13.946702243;;0.0483549333;0.0483549333
4;170;08;08137;01020001;040068760;08137003;1;2;00112201001;9;2012;2;2;;1;;;0.1714376553;3.5454015479;12;0.0483549333;0.0483549333
4;170;08;08137;01020001;040068760;08137003;1;2;00112201001;6;2013;2;2;;1;;;0.1692979935;3.5011524579;12;0.0483549333;0.0483549333
4;170;08;08137;01020001;040068760;08137003;1;2;00112201002;9;2012;2;2;;1;;;0.1478854845;3.0583329244;12;0.0483549333;0.0483549333
4;170;08;08137;01020001;040068760;08137003;1;2;00112201002;6;2013;2;2;;1;;;0.1725930369;3.5692953181;12;0.0483549333;0.0483549333
4;170;08;08137;01164360;000048410;08137003;1;2;00112201001;9;2012;2;2;;1;;;0.6155778623;3.3785765986;12;0.182200357;0.182200357
4;170;08;08137;01164360;000048410;08137003;1;2;00112201002;6;2013;2;2;;1;;;0.606313549;3.3277297531;12;0.182200357;0.182200357
4;170;08;08137;01164360;000048410;08137003;1;2;00112201001;6;2013;2;2;;1;;;0.5718822775;3.1387549781;12;0.182200357;0.182200357
4;170;08;08137;01164360;000048410;08137003;1;2;00112201002;9;2012;2;2;;1;;;0.5987789968;3.2863766393;12;0.182200357;0.182200357
4;170;08;08137;01164360;000048410;08137003;1;1;00132201001;1;1995;2;;;;;;2.5410941273;13.946702243;;0.182200357;0.182200357
